video_id,titulo,data_publicacao,visualizacoes,curtidas,comentarios,duracao,thumbnail,descricao,tags,canal
hMtOmZYLEOQ,EVERY Grand Prix Highlight of the 2024 F1 Season,2024-12-19 16:00:39,5875556,33229,802,3:10:48,https://i.ytimg.com/vi/hMtOmZYLEOQ/hqdefault.jpg,"Grab your favourite snack and take in ALL the race highlights from the 2024 season in a year that truly entertained us all!

0:00 Bahrain
7:13 Saudi Arabia
15:10 Australia
23:18 Japan
31:11 China
39:11 Miami
47:10 Emilia-Romagna
55:01 Monaco
1:03:00 Canada
1:11:01 Spain
1:18:52 Austria
1:26:42 Great Britain
1:34:39 Hungary
1:42:39 Belgium
1:50:39 Netherlands
1:58:30 Italy
2:06:35 Azerbaijan
2:14:36 Singapore
2:22:24 United States
2:30:33 Mexico City
2:38:38 Sao Paulo
2:46:39 Las Vegas
2:54:43 Qatar
3:02:38 Abu Dhabi

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing",FORMULA 1
Qa0nj2CcaSM,Race Highlights | 2024 Abu Dhabi Grand Prix,2024-12-08 15:15:13,6521655,130443,4605,0:08:10,https://i.ytimg.com/vi/Qa0nj2CcaSM/hqdefault.jpg,"Catch up on the emotional finale of the 2024 season. Lewis Hamilton, Carlos Sainz and others look to end stints with their respective teams on a high, while the constructors' battle between McLaren and Ferrari comes to a thrilling conclusion.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing,abu dhabi,mclaren,ferrari,mercedes,lewis hamilton,lando norris,carlos sainz",FORMULA 1
NGSPg5ns2-0,Race Highlights | 2024 Qatar Grand Prix,2024-12-01 18:47:05,5395520,102849,4376,0:08:04,https://i.ytimg.com/vi/NGSPg5ns2-0/hqdefault.jpg,"Catch up on an action-packed Qatar Grand Prix, including a host of incidents with huge ramifications for the constructors' championship heading into the final round of 2024.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing,qatar,f1 highlights",FORMULA 1
sNd1-1GjMDY,Race Highlights | 2024 Las Vegas Grand Prix,2024-11-24 08:56:28,6923746,141726,4358,0:08:15,https://i.ytimg.com/vi/sNd1-1GjMDY/hqdefault.jpg,"Catch all the best bits from an eventful return to The Strip as George Russell led us off the line from pole position, with the championship battle between Verstappen and Norris not far behind.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #LasVegasGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing,lvgp,las vegas,george russell,lewis hamilton,max verstappen,lando norris,mercedes,red bull racing,wdc",FORMULA 1
gbxJT-yBdcs,Race Highlights | 2024 Sao Paulo Grand Prix,2024-11-03 18:43:53,8591063,161750,9841,0:08:10,https://i.ytimg.com/vi/gbxJT-yBdcs/hqdefault.jpg,"Catch up on a Sao Paulo Grand Prix that had absolutely everything!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #BrazilGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing",FORMULA 1
3efwPrjwNVY,Race Highlights | 2024 Mexico City Grand Prix,2024-10-27 22:36:56,6769280,132967,5917,0:08:14,https://i.ytimg.com/vi/3efwPrjwNVY/hqdefault.jpg,"Watch all the best moments from a thrilling 2024 Mexico City Grand Prix, which saw drama from the opening lap to the final flag! A crash on lap one, wheel-to-wheel battles between title contenders Max Verstappen and Lando Norris, and a stunning drive from Carlos Sainz.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #MexicoGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing,Mexico City,Mexico City Grand Prix,Carlos Sainz,Lando Norris,Charles Leclerc",FORMULA 1
kLCytMTycxI,Race Highlights | 2024 United States Grand Prix,2024-10-20 21:36:00,6214377,118852,7381,0:08:15,https://i.ytimg.com/vi/kLCytMTycxI/hqdefault.jpg,"Catch up on Formula 1's 12th visit to the Circuit of the Americas as title contenders Max Verstappen and Lando Norris battled to the flag in an intense battle whilst Liam Lawson impressed on his return to the grid!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #USGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing",FORMULA 1
slCskHrI_Vg,Race Highlights | 2024 Singapore Grand Prix,2024-09-22 15:15:01,5917027,108282,3154,0:07:57,https://i.ytimg.com/vi/slCskHrI_Vg/hqdefault.jpg,"Catch up on all the action from Formula 1's 15th visit to the streets of Singapore. Watch as Lando Norris breaks his Lap 1 curse from pole position, rookie Franco Colapinto takes the fight to Red Bull's Sergio Perez in the midfield, and much more!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #SingaporeGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing,Singapore,Singapore Grand Prix,Lando Norris,Max Verstappen",FORMULA 1
7ynDOY1PR74,Race Highlights | 2024 Azerbaijan Grand Prix,2024-09-15 13:36:04,7242592,142259,7497,0:08:11,https://i.ytimg.com/vi/7ynDOY1PR74/hqdefault.jpg,"Catch the key moments from an instant classic on the streets of Baku! Featuring a tight battle for P1 throughout, fights up and down the field and a dramatic crash ending for two podium contenders.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #AzerbaijanGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing,azerbaijan grand prix,f1 race highlights,baku,oscar piastri,charles leclerc",FORMULA 1
sTmpbEYUba0,Race Highlights | 2024 Italian Grand Prix,2024-09-01 15:44:10,7067760,142262,5454,0:08:15,https://i.ytimg.com/vi/sTmpbEYUba0/hqdefault.jpg,"Watch all the best moments from an unforgettable Italian Grand Prix. Drama unfolds at the race start with Oscar Piastri's bold move on team mate and pole-sitter Lando Norris, but it's Charles Leclerc who wins Ferrari's home race to send the Tifosi into a frenzy.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #ItalianGP","F1,Formula One,Formula 1,Sports,Sport,Action,GP,Grand Prix,Auto Racing,Motor Racing,italian grand prix,monza,italian gp,f1 highlights,charles leclerc,ferrari",FORMULA 1
